Object,Close-Approach (CA) Date,CA DistanceNominal (km),CA DistanceMinimum (km),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity
(2024 AH3),2024-Jan-03 02:56 ± < 00:01,2692218,2687354,9.88,9.87,25.7,20 m -   44 m,0
(2024 AM3),2024-Jan-03 09:45 ±    08:39,2680032,2473116,9.64,9.62,26.6,13 m -   28 m,0
(2024 AA3),2024-Jan-03 13:49 ± < 00:01,5207160,5162184,10.74,10.73,25.8,19 m -   42 m,0
(2024 AD),2024-Jan-04 18:15 ± < 00:01,242676,242507,9.9,9.73,28.8,4.7 m -   11 m,0
(2024 AB2),2024-Jan-04 21:18 ±    00:02,744110,742014,7,6.93,26.8,11 m -   26 m,0
(2023 YX1),2024-Jan-06 13:15 ± < 00:01,3877188,3856561,14.31,14.3,24.9,28 m -   63 m,0
(2024 AH1),2024-Jan-06 14:41 ± < 00:01,3441305,3434191,9.65,9.64,25.8,18 m -   40 m,0
(2024 AV3),2024-Jan-06 20:27 ±    00:02,4674438,4607176,13.82,13.82,25.8,19 m -   41 m,0
(2024 AC),2024-Jan-06 22:50 ± < 00:01,2313662,2310420,6.79,6.76,25.5,21 m -   47 m,0
(2024 AL2),2024-Jan-07 09:32 ± < 00:01,1496556,1491925,6.65,6.61,27.4,8.9 m -   20 m,0
(2024 AM),2024-Jan-07 12:20 ± < 00:01,1209360,1208166,9.02,8.99,27.8,7.2 m -   16 m,0
(2024 AW),2024-Jan-07 13:36 ± < 00:01,4280156,4266234,8.5,8.49,25.5,21 m -   47 m,0
(2019 PJ),2024-Jan-07 15:55 ± < 00:01,3719706,3719680,14.4,14.39,23.8,47 m -  100 m,0
(2024 BM1),2024-Jan-08 00:16 ± < 00:01,5458303,5395432,7.31,7.3,26,16 m -   37 m,0
(2024 AC3),2024-Jan-08 01:13 ± < 00:01,1562543,1553829,21.5,21.49,25.3,24 m -   53 m,0
(2024 AX3),2024-Jan-08 04:48 ±    00:14,1844629,1780245,5.51,5.47,27.7,7.8 m -   17 m,0
(2024 AD2),2024-Jan-08 10:58 ± < 00:01,4831185,4789676,7.27,7.26,26.4,14 m -   31 m,0
(2002 AY1),2024-Jan-08 18:11 ± < 00:01,5803012,5802991,17.34,17.34,20.9,180 m -  400 m,1
(2024 BU),2024-Jan-09 00:21 ±    00:06,2739336,2722575,7.03,7.01,28.3,5.8 m -   13 m,0
(2024 BE4),2024-Jan-09 03:14 ± < 00:01,7101309,7008634,7.61,7.61,26.4,14 m -   31 m,0
(2023 XN13),2024-Jan-09 06:22 ±    00:07,6032641,6009543,1.44,1.39,28.2,6.2 m -   14 m,0
(2024 AS1),2024-Jan-09 18:12 ± < 00:01,579850,579156,16.79,16.74,27.3,9.1 m -   20 m,0
(2024 BQ),2024-Jan-10 00:24 ±    00:13,2244879,2226621,12.72,12.71,24.9,28 m -   63 m,0
(2024 AC4),2024-Jan-10 00:50 ± < 00:01,2430806,2410766,8.99,8.97,27.3,9.3 m -   21 m,0
(2024 AF4),2024-Jan-10 04:38 ±    00:02,7105604,7071006,6.32,6.31,26,17 m -   38 m,0
(2023 XT14),2024-Jan-10 12:02 ± < 00:01,4656579,4634867,6.37,6.36,25.7,20 m -   44 m,0
(2024 BA),2024-Jan-10 12:23 ±    01:03,1454678,1435985,12.5,12.47,26,17 m -   38 m,0
(2024 AU1),2024-Jan-10 14:07 ±    00:02,7020038,6952283,18.15,18.14,24.2,39 m -   86 m,0
(2024 AN1),2024-Jan-10 17:08 ± < 00:01,1549638,1548446,7.94,7.91,26.6,13 m -   29 m,0
(2023 YO1),2024-Jan-10 17:53 ± < 00:01,2606736,2605207,3.07,3.02,25.9,18 m -   39 m,0
(2024 AY2),2024-Jan-10 22:52 ±    00:01,3199835,3183185,8.39,8.38,27,11 m -   24 m,0
(2024 AE4),2024-Jan-11 00:18 ±    00:24,1217143,1172777,8.23,8.19,28.7,4.8 m -   11 m,0
(2024 AM4),2024-Jan-11 09:50 ± < 00:01,119476,119327,3.2,1.88,28.7,4.8 m -   11 m,0
(2020 AC1),2024-Jan-11 11:29 ± 2_10:06,7388567,6294257,5.32,5.31,28.4,5.6 m -   12 m,0
(2024 AB4),2024-Jan-11 13:28 ± < 00:01,5710133,5695999,2.96,2.93,26.1,16 m -   37 m,0
(2024 BR1),2024-Jan-11 14:56 ±    00:15,4276006,4203184,14.76,14.75,26.3,15 m -   33 m,0
(2024 BZ15),2024-Jan-11 18:36 ±    10:41,1773086,1717389,10.43,10.41,26.4,14 m -   31 m,0
(2024 AG4),2024-Jan-11 21:32 ±    00:11,340450,339148,11.97,11.87,28.4,5.5 m -   12 m,0
(2023 WZ3),2024-Jan-11 23:30 ± < 00:01,6193680,6192882,3.99,3.97,24.6,31 m -   70 m,0
(2024 AR2),2024-Jan-12 03:45 ± < 00:01,1267190,1264837,19.19,19.18,26.4,14 m -   31 m,0
(2024 BV),2024-Jan-13 06:59 ± < 00:01,2160515,2149027,18.51,18.5,27.4,8.7 m -   19 m,0
(2024 AW2),2024-Jan-13 12:11 ± < 00:01,4189546,4173251,6.74,6.73,26.3,14 m -   32 m,0
(2024 AR1),2024-Jan-13 14:28 ± < 00:01,3835832,3822965,4.53,4.51,26.1,16 m -   37 m,0
(2024 BY1),2024-Jan-13 17:58 ±    00:10,3047049,3029729,13.36,13.35,25.7,19 m -   43 m,0
(2024 AQ4),2024-Jan-14 00:04 ± < 00:01,1245351,1243427,9.79,9.76,25.8,19 m -   42 m,0
(2024 BV1),2024-Jan-14 10:06 ±    00:06,3174463,3145602,11.55,11.54,27.2,9.6 m -   21 m,0
(2024 AF3),2024-Jan-14 16:21 ± < 00:01,3363542,3351704,6.74,6.72,27,11 m -   24 m,0
(2024 BK),2024-Jan-14 17:34 ± < 00:01,3310173,3298066,15.46,15.45,24.7,30 m -   68 m,0
(2024 AG3),2024-Jan-14 18:18 ±    00:03,1698374,1689300,9.79,9.77,27.7,7.8 m -   17 m,0
(2024 AZ3),2024-Jan-14 20:23 ±    00:08,248883,247826,10.02,9.86,28.8,4.7 m -   10 m,0
(2024 BV2),2024-Jan-14 23:41 ±    00:05,3877364,3861622,5.31,5.29,27.7,7.8 m -   17 m,0
(2024 BA16),2024-Jan-15 08:11 ±    00:05,140010,139310,8.94,8.62,28.9,4.3 m -  9.7 m,0
(2024 AT2),2024-Jan-15 10:50 ± < 00:01,1434550,1425910,8.74,8.71,27.3,9.0 m -   20 m,0
(2015 AK1),2024-Jan-15 23:22 ± < 00:01,6069535,6069512,13.22,13.22,24.3,37 m -   83 m,0
(2024 BH1),2024-Jan-16 07:06 ±    00:03,2847989,2837478,19.59,19.58,26.1,16 m -   35 m,0
(2024 BZ),2024-Jan-16 08:33 ±    00:07,3888546,3877977,5.6,5.58,27.3,9.3 m -   21 m,0
(2024 AH4),2024-Jan-16 16:18 ±    00:01,5921973,5850176,8.79,8.78,25.6,20 m -   45 m,0
(2024 AB3),2024-Jan-16 23:08 ±    00:02,2923142,2882179,19.18,19.17,26.6,13 m -   29 m,0
(2021 CZ2),2024-Jan-16 23:26 ± < 00:01,2990607,2990441,14.36,14.35,22.4,86 m -  190 m,1
(2024 BS1),2024-Jan-17 00:41 ±    00:03,1188438,1182483,16.43,16.41,27.4,9.0 m -   20 m,0
(2024 AV4),2024-Jan-17 12:35 ± < 00:01,3319017,3308381,15.47,15.46,25.3,23 m -   51 m,0
(2024 BB),2024-Jan-17 16:55 ± < 00:01,4035774,4015975,16.98,16.97,26.1,16 m -   35 m,0
(2024 BW1),2024-Jan-18 02:18 ± < 00:01,2489929,2484911,4.98,4.95,25.1,25 m -   56 m,0
(2024 CD),2024-Jan-18 04:15 ±    00:16,3351823,3328310,10.17,10.16,25.5,21 m -   47 m,0
(2024 AP2),2024-Jan-19 00:22 ± < 00:01,1542090,1539844,5.89,5.84,24.6,32 m -   70 m,1
(2024 BD),2024-Jan-19 13:19 ± < 00:01,2734992,2725929,22.51,22.5,25.4,22 m -   50 m,0
(2024 CA4),2024-Jan-19 19:37 ±    01:21,6254151,6029372,10.48,10.47,25.5,21 m -   48 m,0
(2024 AE3),2024-Jan-19 23:26 ± < 00:01,4233297,4232663,7.52,7.51,24.5,34 m -   76 m,0
(2024 BC),2024-Jan-20 04:25 ± < 00:01,847090,845299,18.89,18.87,27.2,9.8 m -   22 m,0
(2024 BQ1),2024-Jan-20 10:25 ± < 00:01,345215,344954,6.6,6.42,30.1,2.6 m -  5.8 m,0
(2024 BL),2024-Jan-20 23:00 ± < 00:01,1790568,1776362,18.84,18.83,27.3,9.4 m -   21 m,0
(2024 BE1),2024-Jan-21 15:08 ± < 00:01,815119,811842,9.77,9.72,28.9,4.3 m -  9.7 m,0
(2024 CF3),2024-Jan-21 20:39 ±    00:03,3216954,3203108,4.37,4.34,26.3,15 m -   33 m,0
(2024 CL),2024-Jan-21 23:56 ±    00:05,4945093,4904623,13.34,13.34,25.1,25 m -   57 m,0
(2024 BX5),2024-Jan-22 02:03 ±    00:03,6784261,6769346,2.81,2.79,27.5,8.4 m -   19 m,0
(2024 BM),2024-Jan-22 03:49 ±    00:02,3034030,3007505,5.98,5.95,27,11 m -   24 m,0
(2024 BD4),2024-Jan-22 04:34 ± < 00:01,798313,797611,1.91,1.63,26.5,13 m -   30 m,0
(2024 BR2),2024-Jan-22 11:58 ± < 00:01,292974,292895,4.04,3.69,27.1,10 m -   23 m,1
(2024 BG2),2024-Jan-22 19:06 ± < 00:01,554989,553425,31.6,31.57,27,11 m -   24 m,0
(2024 CZ6),2024-Jan-22 20:14 ±    00:09,4024027,4000290,5.15,5.13,25.4,22 m -   49 m,0
(2024 BA1),2024-Jan-23 06:47 ±    00:03,3271795,3241674,6.38,6.36,27,11 m -   24 m,0
(2024 BZ3),2024-Jan-23 11:16 ±    00:03,938167,935226,5.71,5.63,27.8,7.3 m -   16 m,0
(2024 BV3),2024-Jan-23 12:00 ±    00:06,3436067,3373271,12.82,12.81,26.8,12 m -   26 m,0
(2021 BL3),2024-Jan-23 14:40 ± 4_00:19,6597085,2947064,23.39,23.39,24.7,30 m -   68 m,0
(2024 CJ),2024-Jan-23 23:42 ±    00:02,3605749,3590398,6.42,6.4,25.2,24 m -   54 m,0
(2024 AL6),2024-Jan-24 01:18 ± < 00:01,2088880,2079147,27.02,27.02,25.7,20 m -   44 m,0
(2024 BQ3),2024-Jan-24 08:51 ± < 00:01,1837874,1829478,8.66,8.63,26.7,12 m -   27 m,0
(2024 BF5),2024-Jan-25 01:51 ± < 00:01,5875694,5847000,12.3,12.29,25.4,22 m -   49 m,0
(2017 BG92),2024-Jan-25 05:14 ± 2_07:39,4502103,2114135,6.29,6.27,28.8,4.7 m -   10 m,0
(2024 CC),2024-Jan-25 07:02 ± < 00:01,3916548,3905818,5.87,5.85,25.2,24 m -   55 m,0
(2011 CQ1),2024-Jan-26 05:13 ± 1_18:45,4328877,3784142,4.62,4.6,32.1,1.0 m -  2.3 m,0
(2024 BC3),2024-Jan-26 07:27 ± < 00:01,7422277,7409131,17.89,17.89,22.2,96 m -  210 m,0
(2024 BA5),2024-Jan-26 09:33 ± < 00:01,2766491,2758284,8.78,8.77,26,17 m -   37 m,0
(2024 BP4),2024-Jan-27 00:02 ±    14:04,3012301,2623682,11.25,11.23,26.9,11 m -   24 m,0
(2024 BC5),2024-Jan-27 07:42 ±    00:02,2579701,2552507,12.43,12.42,24.8,29 m -   65 m,0
(2024 BJ),2024-Jan-27 17:29 ± < 00:01,353564,353554,6.35,6.17,26.3,15 m -   33 m,1
(2024 BF1),2024-Jan-27 22:59 ± < 00:01,4018426,4012049,26.02,26.02,23.3,59 m -  130 m,1
(2024 AU4),2024-Jan-28 00:18 ± < 00:01,6306072,6273876,17.42,17.42,23.1,63 m -  140 m,0
(2024 BP3),2024-Jan-28 13:36 ±    00:03,708455,706165,13.67,13.63,27.5,8.4 m -   19 m,0
(2024 CR),2024-Jan-28 19:56 ±    00:03,2599482,2592439,10.24,10.22,26.9,11 m -   24 m,0
(2024 CO4),2024-Jan-28 21:10 ±    00:26,2994075,2971285,11.47,11.46,26.6,13 m -   29 m,0
(2024 CW1),2024-Jan-28 22:44 ±    00:10,6522981,6487076,8.32,8.32,26.6,12 m -   28 m,0
(2024 BC6),2024-Jan-29 07:22 ± < 00:01,815531,805978,12.13,12.09,28.1,6.4 m -   14 m,0
(2024 CG),2024-Jan-30 10:01 ±    00:03,1211287,1198967,9.77,9.74,26.5,14 m -   30 m,0
(2024 BA3),2024-Jan-30 11:43 ± < 00:01,598736,598110,5.76,5.65,28.9,4.5 m -   10 m,0
(2024 BS6),2024-Jan-31 03:01 ± < 00:01,1911877,1895241,11.94,11.92,25.6,20 m -   45 m,0
(2024 CK),2024-Jan-31 08:31 ± < 00:01,2335150,2330630,7.72,7.7,25.3,23 m -   52 m,0
(2024 BR3),2024-Jan-31 10:42 ± < 00:01,4368849,4343632,11.29,11.28,25.2,24 m -   54 m,0
(2024 CS),2024-Feb-01 09:20 ± < 00:01,1018082,1011348,16.99,16.96,25.4,22 m -   49 m,1
(2003 BM4),2024-Feb-01 19:26 ± < 00:01,3322571,3322547,10.86,10.85,24.9,27 m -   61 m,0
(2024 BY),2024-Feb-01 22:06 ± < 00:01,2533649,2529796,5.37,5.34,26.3,14 m -   32 m,0
(2024 CD3),2024-Feb-02 01:05 ±    00:01,5649716,5624005,8.61,8.6,26,16 m -   37 m,0
(2024 BO3),2024-Feb-02 07:18 ±    00:15,5158344,5116401,12.13,12.12,26.7,12 m -   27 m,0
(2024 CO8),2024-Feb-02 13:32 ±    00:15,6136379,6027268,10.52,10.51,26.5,13 m -   29 m,0
(2024 BJ3),2024-Feb-02 13:50 ± < 00:01,858071,857135,17.75,17.72,26,17 m -   37 m,0
(2008 OS7),2024-Feb-02 14:41 ± < 00:01,2854116,2854115,18.17,18.16,20.4,220 m -  500 m,2
(2024 BP1),2024-Feb-02 19:17 ±    00:02,3424380,3390976,7.21,7.19,24.8,30 m -   66 m,0
(2024 BA4),2024-Feb-03 04:36 ± < 00:01,3517720,3490390,12.99,12.98,26.8,12 m -   26 m,0
(2024 BN3),2024-Feb-03 05:01 ± < 00:01,2876614,2863833,7.26,7.24,27.5,8.5 m -   19 m,0
(2007 EG),2024-Feb-03 10:22 ± < 00:01,4482294,4482083,7.75,7.74,24.6,33 m -   73 m,0
(2024 CT),2024-Feb-03 14:56 ± < 00:01,681673,681119,8.21,8.14,26.8,11 m -   26 m,0
(2019 CC5),2024-Feb-04 07:10 ± < 00:01,7336201,7336157,14.96,14.96,22,110 m -  240 m,1
(2024 CZ),2024-Feb-04 07:14 ± < 00:01,4618569,4599273,5.53,5.51,26.6,13 m -   28 m,0
(2024 CB),2024-Feb-04 09:05 ± < 00:01,3657360,3646272,8.43,8.42,26,17 m -   37 m,0
(2024 CT8),2024-Feb-05 08:08 ±    01:17,2054661,2035529,7.55,7.53,26.5,13 m -   29 m,0
(2024 BS4),2024-Feb-05 08:35 ± < 00:01,4147279,4127854,9.46,9.45,25.9,18 m -   39 m,0
(2024 CN2),2024-Feb-05 10:06 ± < 00:01,4617473,4602336,17.5,17.5,25.9,17 m -   39 m,0
(2024 BE5),2024-Feb-05 11:17 ± < 00:01,6656113,6630062,9.6,9.6,25.5,21 m -   47 m,0
(2024 CR2),2024-Feb-05 12:47 ± < 00:01,4730450,4707714,11.21,11.21,23.9,43 m -   96 m,0
(2024 DM),2024-Feb-05 12:54 ±    01:03,6422195,6271463,13.37,13.36,25,27 m -   60 m,0
(2024 CH),2024-Feb-05 14:52 ± < 00:01,882298,880570,20.8,20.78,25.9,17 m -   39 m,0
(2024 DT),2024-Feb-05 21:49 ±    01:09,5724899,5610725,16.72,16.72,24.4,36 m -   80 m,0
(2024 BT3),2024-Feb-06 13:12 ±    00:02,5411920,5351118,5.03,5.02,26.9,11 m -   24 m,0
(2023 SP1),2024-Feb-07 00:06 ± < 00:01,5483172,5483117,11.8,11.79,20.8,190 m -  420 m,1
(2024 DS),2024-Feb-07 02:44 ±    01:23,2636226,2583827,11.95,11.93,25.9,17 m -   39 m,0
(2024 DP),2024-Feb-07 02:49 ±    00:03,1685938,1676300,6.69,6.65,25.4,22 m -   48 m,0
(2024 CQ2),2024-Feb-07 05:10 ±    00:01,952319,950284,10.96,10.93,27.5,8.5 m -   19 m,0
(2024 BW4),2024-Feb-07 05:27 ± < 00:01,4446463,4406414,22.1,22.1,24.1,40 m -   89 m,0
(2024 CF2),2024-Feb-07 06:02 ± < 00:01,1347413,1342320,29.42,29.41,26.5,13 m -   29 m,0
(2024 CF4),2024-Feb-07 21:39 ±    00:04,4277734,4248738,22.06,22.06,25,26 m -   59 m,0
(2024 CG2),2024-Feb-08 03:42 ± < 00:01,996433,996399,9.18,9.13,23.1,64 m -  140 m,2
(2024 CK1),2024-Feb-08 09:29 ± < 00:01,227778,227558,12.06,11.91,29.4,3.6 m -  8.0 m,0
(2024 CO2),2024-Feb-08 18:51 ±    00:04,569214,565860,10.6,10.54,26.8,11 m -   25 m,0
(2024 FQ),2024-Feb-09 18:41 ± < 00:01,4961138,4960418,3.54,3.51,25.6,20 m -   45 m,0
(2024 CJ1),2024-Feb-09 20:10 ± < 00:01,367491,366724,7.63,7.48,28.4,5.5 m -   12 m,0
(2024 BH),2024-Feb-10 10:37 ± < 00:01,7037028,7031335,8.08,8.07,23.2,60 m -  130 m,0
(2024 CN8),2024-Feb-10 13:11 ±    00:02,459898,458465,3.12,2.83,28.9,4.3 m -  9.6 m,0
(2024 CV1),2024-Feb-10 21:53 ± < 00:01,1986271,1981282,3.06,3,28.7,4.9 m -   11 m,0
(2024 CH4),2024-Feb-11 06:10 ±    00:03,109045,108568,24.01,23.86,27.7,7.7 m -   17 m,1
(2024 CZ3),2024-Feb-11 07:57 ± < 00:01,1967799,1966328,9.3,9.28,25,27 m -   61 m,0
(2024 CU),2024-Feb-11 08:58 ± < 00:01,691625,690893,7.25,7.17,26.4,14 m -   32 m,0
(2024 EE1),2024-Feb-11 16:36 ±    01:06,6195853,6149061,5.6,5.58,26,17 m -   37 m,0
(2024 CC4),2024-Feb-12 04:18 ± < 00:01,1758534,1740475,7.76,7.73,27.5,8.3 m -   19 m,0
(2024 CY1),2024-Feb-12 07:32 ± < 00:01,121465,121331,14.53,14.3,29.2,3.8 m -  8.5 m,0
(2020 DK),2024-Feb-12 13:49 ± 3_12:28,3409279,1408387,9.87,9.86,26.1,16 m -   36 m,0
(2024 CM5),2024-Feb-12 15:42 ± < 00:01,140270,140106,10.76,10.5,28.3,5.7 m -   13 m,0
(2024 DD),2024-Feb-13 03:15 ±    00:14,1324223,1313720,13.24,13.22,27.9,6.9 m -   15 m,0
(2024 CD4),2024-Feb-13 05:17 ± < 00:01,1666618,1664721,6.39,6.35,26.6,12 m -   28 m,0
(2024 CB1),2024-Feb-13 08:07 ± < 00:01,1465153,1461856,17.55,17.53,24.1,39 m -   88 m,1
(2024 DH),2024-Feb-13 09:00 ±    00:01,2756634,2735240,17.61,17.6,26.2,16 m -   35 m,0
(2024 CB7),2024-Feb-13 09:47 ± < 00:01,1690905,1686908,8.27,8.24,26,17 m -   37 m,0
(2024 DA),2024-Feb-13 22:15 ± < 00:01,1216759,1211699,12.52,12.49,27.4,8.8 m -   20 m,0
(2024 CD1),2024-Feb-14 03:03 ±    00:14,3781125,3747132,12.3,12.29,26.4,14 m -   31 m,0
(2024 CR6),2024-Feb-14 03:10 ±    00:05,420087,418584,21.86,21.81,27.9,6.8 m -   15 m,0
(2024 CK3),2024-Feb-14 05:24 ± < 00:01,6720948,6707663,7.78,7.77,24.7,30 m -   67 m,0
(2024 CL1),2024-Feb-14 07:11 ±    00:01,1293290,1285456,14.25,14.23,25.8,18 m -   41 m,0
(2024 BR4),2024-Feb-14 11:03 ± < 00:01,4600324,4579632,12.46,12.46,21.4,140 m -  310 m,1
(2024 DC1),2024-Feb-14 13:25 ±    01:27,6562338,6470014,6.97,6.96,26.7,12 m -   27 m,0
(2024 CU1),2024-Feb-14 13:31 ± < 00:01,584947,583453,10.81,10.75,26.7,12 m -   27 m,0
(2024 CE1),2024-Feb-15 00:01 ± < 00:01,4233619,4189087,9.16,9.15,25.6,20 m -   45 m,0
(2024 DK1),2024-Feb-15 07:53 ±    00:05,2068515,2057510,6.82,6.79,27.2,9.5 m -   21 m,0
(2024 CN3),2024-Feb-15 12:27 ±    00:14,5996791,5959691,9.22,9.21,26.2,15 m -   34 m,0
(2024 CE4),2024-Feb-15 19:32 ±    00:04,939933,937586,18.67,18.65,27.3,9.3 m -   21 m,0
(2024 CP5),2024-Feb-16 00:25 ± < 00:01,6382075,6358689,7.82,7.82,26,17 m -   37 m,0
(2024 DE),2024-Feb-16 01:00 ± < 00:01,1965005,1960094,6.22,6.19,27.8,7.3 m -   16 m,0
(2024 CK6),2024-Feb-16 01:32 ± < 00:01,4305108,4296222,8.23,8.22,26.6,13 m -   29 m,0
(2024 CP4),2024-Feb-16 01:52 ± < 00:01,2175955,2168895,11.61,11.6,25.4,23 m -   50 m,0
(2024 AO),2024-Feb-16 03:05 ± < 00:01,3546069,3545092,7.29,7.28,24.2,38 m -   85 m,0
(2024 DV),2024-Feb-16 17:37 ± < 00:01,1317210,1315786,5.69,5.64,26.3,15 m -   33 m,0
(2024 CT6),2024-Feb-16 21:24 ± < 00:01,359648,358819,20.94,20.89,29.2,3.9 m -  8.6 m,0
(2024 CA2),2024-Feb-16 23:40 ±    00:09,4501715,4396674,10.74,10.73,24.4,36 m -   80 m,0
(2024 CF7),2024-Feb-17 05:12 ±    00:01,105880,105614,10.61,10.25,29.5,3.4 m -  7.6 m,0
(2024 DZ),2024-Feb-17 06:32 ±    00:01,1819649,1813506,7.59,7.56,28.4,5.4 m -   12 m,0
(2024 CR5),2024-Feb-17 14:43 ± < 00:01,6569880,6500697,14.12,14.11,25.6,21 m -   46 m,0
(2024 CS6),2024-Feb-17 17:29 ± < 00:01,2864413,2859553,6.67,6.65,26.1,16 m -   35 m,0
(2024 CS7),2024-Feb-17 22:44 ± < 00:01,3137457,3131474,12.84,12.83,25.1,25 m -   56 m,0
(2024 CA8),2024-Feb-18 01:43 ± < 00:01,2917178,2903731,26.08,26.07,24.3,36 m -   81 m,0
(2024 BC8),2024-Feb-18 03:37 ± < 00:01,2382505,2375881,10.5,10.48,25.4,22 m -   49 m,0
(2024 DY),2024-Feb-18 15:28 ± < 00:01,171620,171422,11.82,11.62,29,4.2 m -  9.3 m,0
(2024 EU2),2024-Feb-18 18:17 ±    01:26,4986386,4864041,12.63,12.62,24.8,29 m -   65 m,0
(2024 CH2),2024-Feb-18 23:23 ± < 00:01,2181466,2173615,9.59,9.57,26,17 m -   37 m,0
(2024 CJ6),2024-Feb-19 14:31 ± < 00:01,1760158,1755545,15.4,15.39,26.5,13 m -   30 m,0
(2024 CV8),2024-Feb-19 19:21 ± < 00:01,450492,449974,17.1,17.05,26.3,15 m -   33 m,1
(2024 DC),2024-Feb-19 19:49 ± < 00:01,4789012,4754987,9.25,9.24,26.7,12 m -   27 m,0
(2024 DL1),2024-Feb-20 14:22 ±    00:02,2474471,2461195,10.14,10.12,27.3,9.4 m -   21 m,0
(2024 CK5),2024-Feb-20 18:45 ±    00:07,2801581,2785627,9.51,9.5,27.5,8.4 m -   19 m,0
(2024 DM1),2024-Feb-21 05:15 ±    00:01,3342008,3326077,7.48,7.47,27.1,10 m -   23 m,0
(2024 EV),2024-Feb-21 13:09 ±    00:05,1865461,1852441,13.04,13.03,26.6,13 m -   28 m,0
(2024 CL5),2024-Feb-21 15:19 ± < 00:01,1826930,1816295,13.97,13.95,26.1,16 m -   36 m,0
(2024 DW),2024-Feb-22 04:37 ± < 00:01,224554,224260,17.9,17.8,27.1,9.9 m -   22 m,1
(2024 EJ),2024-Feb-22 06:28 ±    00:02,3024598,3011138,10.78,10.76,25.6,21 m -   46 m,0
(2024 CE8),2024-Feb-22 08:55 ± < 00:01,4048673,4023187,18.84,18.83,25.5,22 m -   48 m,0
(2024 EC),2024-Feb-22 09:05 ± < 00:01,4514247,4505483,12.33,12.33,24.1,41 m -   91 m,0
(2024 DX),2024-Feb-22 14:16 ± < 00:01,775223,774381,10.41,10.36,27.3,9.3 m -   21 m,0
(2024 EC2),2024-Feb-22 18:39 ± < 00:01,2200098,2197999,13.09,13.07,25.2,25 m -   55 m,0
(2024 DJ1),2024-Feb-22 18:50 ±    00:01,4801206,4773644,13.46,13.46,25.1,26 m -   57 m,0
(2024 BY15),2024-Feb-23 08:57 ±    00:02,4607403,4606520,1.58,1.53,26.7,12 m -   27 m,0
(2024 CL3),2024-Feb-23 12:31 ± < 00:01,3557583,3547478,4.17,4.14,26.3,14 m -   32 m,0
(2024 EX),2024-Feb-26 00:46 ±    00:10,1212429,1209799,8.04,8,27.7,7.8 m -   17 m,0
(2024 EL),2024-Feb-27 06:36 ± < 00:01,4562925,4524549,10.27,10.27,25.2,24 m -   54 m,0
(2024 EX1),2024-Feb-27 17:38 ± < 00:01,2000857,1986330,16.29,16.28,25.9,18 m -   40 m,0
(2024 CT7),2024-Feb-27 23:37 ± < 00:01,2369351,2365688,7.71,7.69,26.7,12 m -   27 m,0
(2024 CC7),2024-Feb-28 11:08 ±    00:04,5889842,5861257,6,5.98,26.4,14 m -   32 m,0
(2024 CE7),2024-Feb-28 16:23 ±    00:05,5195683,5149593,19.35,19.34,24.8,30 m -   66 m,0
(2024 DL),2024-Feb-29 02:34 ± < 00:01,1746032,1743694,6.73,6.69,26,16 m -   37 m,0
(2024 EE),2024-Feb-29 10:07 ± < 00:01,3589715,3581802,8.35,8.34,24.7,30 m -   68 m,0
(2024 CA7),2024-Feb-29 20:43 ± < 00:01,5692549,5683484,32.5,32.5,22.6,82 m -  180 m,1
(2024 FE1),2024-Mar-01 02:53 ±    02:02,6071125,6006076,6.01,6,26.1,16 m -   35 m,0
(2024 ES1),2024-Mar-01 09:09 ± < 00:01,2639278,2621793,7.43,7.41,26.4,14 m -   31 m,0
(2024 FH1),2024-Mar-01 16:00 ±    00:03,5728612,5712389,4.49,4.48,25.7,19 m -   43 m,0
(2024 EB),2024-Mar-01 20:41 ± < 00:01,2375588,2371189,6.35,6.33,26,17 m -   38 m,0
(2024 EH2),2024-Mar-03 14:00 ± < 00:01,1744207,1738660,12.21,12.19,26.4,14 m -   31 m,0
(2024 ES2),2024-Mar-03 18:37 ± < 00:01,3494190,3468311,10.57,10.56,26.4,14 m -   31 m,0
(2024 ED),2024-Mar-03 20:00 ± < 00:01,3574957,3568871,17.92,17.91,25.2,24 m -   55 m,0
(2019 DA1),2024-Mar-03 20:07 ± 8_07:14,5607455,121904,13.38,13.38,26,17 m -   38 m,0
(2024 EF),2024-Mar-04 07:00 ± < 00:01,57608,57577,8.64,7.8,29.1,3.9 m -  8.8 m,1
(2024 CW6),2024-Mar-04 08:20 ±    00:02,3819206,3808408,2.5,2.46,27.6,8.1 m -   18 m,0
(2024 EM2),2024-Mar-04 09:22 ± < 00:01,1468298,1462301,11.35,11.33,26.9,11 m -   24 m,0
(2024 CK8),2024-Mar-04 10:18 ± < 00:01,2659015,2656772,4.83,4.8,25.3,23 m -   52 m,0
(2024 EA),2024-Mar-04 15:26 ± < 00:01,5301336,5299673,12.64,12.63,22.6,81 m -  180 m,1
(2024 EN2),2024-Mar-04 15:49 ± < 00:01,760973,755671,17.92,17.9,26.5,13 m -   29 m,0
(2024 EZ),2024-Mar-04 17:54 ± < 00:01,3105970,3102719,8.63,8.62,24.3,36 m -   81 m,0
(2024 EW3),2024-Mar-05 21:12 ±    00:04,1048979,1045959,3.37,3.26,28.4,5.5 m -   12 m,0
(2024 EM3),2024-Mar-05 22:58 ±    00:03,2906075,2886423,8.97,8.95,26.4,14 m -   31 m,0
